|  Main Features  |  Radio  |  Connection of External Devices  |  USB (MP3/WMA)  |  BluetoothBluetooth is a registered trademark of Bluetooth SIG®   |  Satellite Radio Ready  |
------------,------------,------------,------------,------------,------------
(A)—Touch Screen Radio,X,X,X,X,United States/Canada
(B)—AM/FM Radio,X,X,,X,Not Available

|  Wave Bands (United States/Canada)  | |  Wave Bands (All Other Countries)  | |
------------,------------,------------,------------
FM,87.7—107.9 MHz,UKW (FM),87.5—108.0 MHz
AM,530—1710 kHz,MW,522—1629 kHz
WX,162.4—162.55 MHz,LW,153—279 kHz

|  Separator Status  |  Disengaged  |
------------,------------
E,"Clean Moisture Sensor Clean Moisture Sensor Bypass Auger Clean ActiveVisionActiveVision is a trademark of Deere & Company™ Clean Grain Elevator Camera (If Equipped) Replace ActiveVision™ Clean Grain Elevator Camera Desiccant Cartridge (If Equipped)If the harvest season is complete, wait until the beginning of the next harvest season to extend the desiccant cartridge life.",●
F,"Clean ActiveVisionActiveVision is a trademark of Deere & Company™ Tailings System Camera (If Equipped) Replace ActiveVision™ Tailings System Camera Desiccant Cartridge (If Equipped)If the harvest season is complete, wait until the beginning of the next harvest season to extend the desiccant cartridge life.",●
G,Inspect Fire Extinguisher Bracket Straps (If Equipped),●

|  Engine Speeds  |  |
------------,------------
Slow Speed,1200 rpm
Medium Speed,1550 rpm
High Speed,1900 rpm

|  Engine  | | |
------------,------------,------------
Make,John Deere,
Model,"6136HX304 (13.6 L, Single Turbo, Tier 3/Stage IIIA) 6136HX303 (13.6 L, Series Turbos, Tier 3/Stage IIIA) 6136HX404 (13.6 L, Single Turbo, Final Tier 4) 6136HX403 (13.6 L, Series Turbos, Final Tier 4) 6136HX504 (13.6 L, Single Turbo, Stage V) 6136HX503 (13.6 L, Series Turbos, Stage V)",
Type,"Six-Cylinder, In-Line, Valve-in-Head, Air-to-Air Aftercooled Diesel Turbocharged",
,**X9 1000**,**X9 1100**
Rated Power,410 kW (550 hp),450 kW (603 hp)
Rated Speed,1900 rpm,1900 rpm
Power Boost at Rated Speed,40 kW (54 hp),40 kW (54 hp)
Peak Power,470 kW (630 hp),515 kW (690 hp)
Peak Power Speed (Rated Speed -200 rpm),1700 rpm,
Displacement,13.6 L (830 in³),
Firing Order,1-5-3-6-2-4,
Air Cleaner,Dry Type with Safety Element,

|  Electrical System  | |
------------,------------
Battery Voltage,12 V
Battery Terminal Grounded,Negative
Alternator,330 A

|  Legend  |  Shading = #c0c0c0 Unloading Auger Lengths  | | | |
------------,------------,------------,------------,------------
Shading = #c0c0c0 7.9 m (26 ft 0 in),Shading = #c0c0c0 8.2 m (26 ft 10 in),Shading = #c0c0c0 8.7 m (28 ft 6 in),Shading = #c0c0c0 9.4 m (30 ft 10 in)
A,Shading = #c0c0c0 Standard Unloading Auger Boot,,,
11.49 m (37 ft 8 in),Not Applicable,12.25 m (40 ft 2 in),13.01 m (42 ft 8 in)
Shading = #c0c0c0 Active Unloading Auger Boot,,,
11.83 m (38 ft 10 in),11.98 m (39 ft 4 in),12.59 m (41 ft 4 in),13.35 m (43 ft 10 in)
B,Shading = #c0c0c0 Standard Unloading Auger Boot,,,
9.71 m (31 ft 10 in),Not Applicable,10.47 m (34 ft 4 in),11.23 m (36 ft 10 in)
Shading = #c0c0c0 Active Unloading Auger Boot,,,
9.71 m (31 ft 10 in),9.71 m (31 ft 10 in),10.47 m (34 ft 4 in),11.23 m (36 ft 10 in)
C,9.21 m (30 ft 3 in),,,
D,4.91—4.96 m (16 ft 1 in—16 ft 3 in) with 14 800 L (420 bu) and 16 200 L (460 bu) Covers,,,
"E Front or rear of machine may be higher depending on the different tire configurations, axle configurations, axle positions, and spindles types.",Shading = #c0c0c0 Top of Radio Antenna,,Shading = #c0c0c0 Top of Position Receiver,
4.03—4.08 m (13 ft 3 in—13 ft 5 in),,3.86—3.91 m (12 ft 8 in—12 ft 10 in),
Shading = #c0c0c0 Top of Engine Cooling Package,,,
3.96—4.00 m (13 ft 0 in—13 ft 2 in),,,
Shading = #c0c0c0 Top of Standard Unloading Auger Boot,,,
3.98 m (13 ft 1 in),Not Applicable,4.01 m (13 ft 2 in),4.03 m (13 ft 3 in)
Shading = #c0c0c0 Top of Active Unloading Auger Boot,,,
4.11 m (13 ft 6 in),4.12 m (13 ft 6 in),4.14 m (13 ft 7 in),4.16 m (13 ft 8 in)
F,0.51—0.56 m (1 ft 8 in-—1 ft 10 in),,,
G,4.11 m (13 ft 6 in),,,
H,Shading = #c0c0c0 Standard Unloading Auger Boot,,,
8.68 m (28 ft 6 in),Not Applicable,9.39 m (30 ft 10 in),10.10 m (33 ft 2 in)
Shading = #c0c0c0 Active Unloading Auger Boot,,,
8.77 m (28 ft 9 in),8.91 m (29 ft 3 in),9.48 m (31 ft 1 in),10.19 m (33 ft 5 in)
I,Shading = #c0c0c0 Standard Unloading Auger Boot,,,
5.71—5.76 m (18 ft 9 in—18 ft 11 in),Not Applicable,5.92—5.97 m (19 ft 5 in—19 ft 7 in),6.13—6.18 m (20 ft 1 in—20 ft 3 in)
Shading = #c0c0c0 Active Unloading Auger Boot,,,
5.85—5.91 m (19 ft 2 in—19 ft 5 in),5.89—5.95 m (19 ft 4 in—19 ft 6 in),6.06—6.12 m (19 ft 11 in—20 ft 1 in),6.27—6.33 m (20 ft 7 in—20 ft 9 in)
J,Shading = #c0c0c0 Standard Unloading Auger Boot,,,
4.87—4.92 m (16 ft 0 in—16 ft 2 in),Not Applicable,5.08—5.13 m (16 ft 8 in—16 ft 10 in),5.29—5.34 m (17 ft 4 in—17 ft 6 in)
Shading = #c0c0c0 Active Unloading Auger Boot,,,
5.35—5.40 m (17 ft 7 in—17 ft 9 in),5.39—5.44 m (17 ft 8 in—17 ft 10 in),5.56—5.61 m (18 ft 3 in—18 ft 5 in),5.77—5.82 m (18 ft 11 in—19 ft 1 in)
K Dimension is measured 1.22 m (4 ft) from the grain spill point. This represents the unloading auger when centered over the grain cart.,Shading = #c0c0c0 Standard Unloading Auger Boot,,,
5.10—5.15 m (16 ft 9 in—16 ft 11 in),Not Applicable,5.31—5.36 m (17 ft 5 in—17 ft 7 in),5.52—5.57 m (18 ft 1 in—18 ft 3 in)
Shading = #c0c0c0 Active Unloading Auger Boot,,,
5.13—5.18 m (16 ft 10 in—17 ft 0 in),5.17—5.22 m (17 ft 0 in—17 ft 2 in),5.34—5.39 m (17 ft 6 in—17 ft 8 in),5.55—5.60 m (18 ft 3 in—18 ft 5 in)
"L Due to the different tire configurations, row spacings, axle configurations, wheel offsets, axle positions, and spindles types, machine widths vary. Measurements given in chart are for minimum and maximum widths. For more detailed width information, see your John Deere dealer.",Shading = #c0c0c0 Front Tires,,Shading = #c0c0c0 Rear Tires,
4.03—5.61 m (13 ft 3 in—18 ft 5 in),,4.15—4.90 m (13 ft 7 in—16 ft 1 in),

|  Emissions Label Family  |  CO₂ Result  |
------------,------------
Shading = #c0c0c0 _JDXL02.9323,Shading = #c0c0c0 952 g/kW-hr
_JDXL02.9327,784 g/kW-hr
Shading = #c0c0c0 _JDXL04.5337,Shading = #c0c0c0 819 g/kW-hr
_JDXL04.5338,682 g/kW-hr
Shading = #c0c0c0 _JDXL04.5304,Shading = #c0c0c0 1004 g/kW-hr
_JDXN04.5174,792 g/kW-hr
Shading = #c0c0c0 _JDXL06.8324,Shading = #c0c0c0 720 g/kW-hr
_JDXL06.8328,683 g/kW-hr
Shading = #c0c0c0 _JDXL06.8336,Shading = #c0c0c0 701 g/kW-hr
_JDXN06.8175,771 g/kW-hr
Shading = #c0c0c0 _JDXL09.0319,Shading = #c0c0c0 646 g/kW-hr
_JDXL09.0325,695 g/kW-hr
Shading = #c0c0c0 _JDXL09.0329,Shading = #c0c0c0 657 g/kW-hr
_JDXL09.0333,650 g/kW-hr
Shading = #c0c0c0 _JDXL13.5326,Shading = #c0c0c0 684 g/kW-hr
_JDXL13.6320,651 g/kW-hr
Shading = #c0c0c0 _JDXL13.5340,Shading = #c0c0c0 632 g/kW-hr
_JDXL18.0341,683 g/kW-hr
Shading = #c0c0c0 F28,Shading = #c0c0c0 870 g/kW-hr
F32,710 g/kW-hr
Shading = #c0c0c0 F33,Shading = #c0c0c0 677 g/kW-hr

|    Logo  **U.S. AND CANADA EMISSION CONTROL WARRANTY STATEMENT****YOUR WARRANTY RIGHTS AND OBLIGATIONS**  |
------------
"To determine if the John Deere engine qualifies for the additional warranties set forth below, look for the ""Emissions Control Information"" label located on the engine. If the engine is operated in the United States or Canada and the Emissions Control information label states: ""This engine complies with US EPA regulations for nonroad and stationary diesel engines”, or “This engine conforms to US EPA nonroad compression-ignition regulations”, refer to the ""U.S. and Canada Emission Control Warranty Statement."" If the engine is operated in California, and the label states: ""This engine complies with US EPA and CARB regulations for nonroad diesel engines”, or “This engine conforms to US EPA and California nonroad compression-ignition emission regulations”, also refer to the ""California Emission Control Warranty Statement.”   Warranties stated on this certificate refer only to emissions-related parts and components of your engine. The complete engine warranty, less emissions-related parts and components, is provided separately. If you have any questions about your warranty rights and responsibilities, you should contact John Deere at 1-319-292-5400."

|  |  Deere Open Source Compliance Team  |
------------,------------
,P.O. Box 1202
,"Moline, IL 61266-1202 USA"

"|  Bolt or Screw Size  |  SAE Grade 1Grade 1 applies for hex cap screws over 6 in (152 mm) long, and for all other types of bolts and screws of any length.  | | | |  SAE Grade 2Grade 2 applies for hex cap screws (not hex bolts) up to 6 in (152 mm) long.  | | | |  SAE Grade 5, 5.1 or 5.2  | | | |  SAE Grade 8 or 8.2  | | | |"
------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
"Hex HeadHex head column values are valid for ISO 4014 and ISO 4017 hex head, ISO 4162 hex socket head, and ISO 4032 hex nuts.",,"Flange HeadHex flange column values are valid for ASME B18.2.3.9M, ISO 4161, or EN 1665 hex flange products.",,"Hex HeadHex head column values are valid for ISO 4014 and ISO 4017 hex head, ISO 4162 hex socket head, and ISO 4032 hex nuts.",,"Flange HeadHex flange column values are valid for ASME B18.2.3.9M, ISO 4161, or EN 1665 hex flange products.",,"Hex HeadHex head column values are valid for ISO 4014 and ISO 4017 hex head, ISO 4162 hex socket head, and ISO 4032 hex nuts.",,"Flange HeadHex flange column values are valid for ASME B18.2.3.9M, ISO 4161, or EN 1665 hex flange products.",,"Hex HeadHex head column values are valid for ISO 4014 and ISO 4017 hex head, ISO 4162 hex socket head, and ISO 4032 hex nuts.",,"Flange HeadHex flange column values are valid for ASME B18.2.3.9M, ISO 4161, or EN 1665 hex flange products.",
,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·in**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·in**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·in**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·in**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·in**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·in**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·in**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·in**
1/4,3.1,27.3,3.2,28.4,5.1,45.5,5.3,47.3,7.9,70.2,8.3,73.1,11.2,99.2,11.6,103
,,,,,,,,,,,,,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·ft**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·ft**
5/16,6.1,54.1,6.5,57.7,10.2,90.2,10.9,96.2,15.7,139,16.8,149,22.2,16.4,23.7,17.5
,,,,,,,,,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·ft**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·ft**,,,,
3/8,10.5,93.6,11.5,102,17.6,156,19.2,170,27.3,20.1,29.7,21.9,38.5,28.4,41.9,30.9
,,,,,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·ft**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·ft**,,,,,,,,
7/16,16.7,148,18.4,163,27.8,20.5,30.6,22.6,43,31.7,47.3,34.9,60.6,44.7,66.8,49.3
,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·ft**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·ft**,,,,,,,,,,,,
1/2,25.9,19.1,28.2,20.8,43.1,31.8,47,34.7,66.6,49.1,72.8,53.7,94,69.3,103,75.8
9/16,36.7,27.1,40.5,29.9,61.1,45.1,67.5,49.8,94.6,69.8,104,77,134,98.5,148,109
5/8,51,37.6,55.9,41.2,85,62.7,93.1,68.7,131,96.9,144,106,186,137,203,150
3/4,89.5,66,98,72.3,149,110,164,121,230,170,252,186,325,240,357,263
7/8,144,106,157,116,144,106,157,116,370,273,405,299,522,385,572,422
1,216,159,236,174,216,159,236,174,556,410,609,449,785,579,860,634
1-1/8,305,225,335,247,305,225,335,247,685,505,751,554,1110,819,1218,898
1-1/4,427,315,469,346,427,315,469,346,957,706,1051,775,1552,1145,1703,1256
1-3/8,564,416,618,456,564,416,618,456,1264,932,1386,1022,2050,1512,2248,1658
1-1/2,743,548,815,601,743,548,815,601,1665,1228,1826,1347,2699,1991,2962,2185
"The nominal torque values listed are for general use only with the assumed wrenching accuracy of 20%, such as a manual torque wrench. DO NOT use these values if a different torque value or tightening procedure is given for a specific application. For lock nuts, for stainless steel fasteners, or for nuts on U-bolts, see the tightening instructions for the specific application.",,,,,,,,,"Replace fasteners with the same or higher property class. If higher property class fasteners are used, tighten these to the strength of the original.",,,,,,,
"Make sure that fastener threads are clean. Apply a thin coat of Hy-Gard™ or equivalent oil under the head and on the threads of the fastener, as shown in the following image. Be conservative with the amount of oil to reduce the potential for hydraulic lockup in blind holes due to excessive oil. Properly start thread engagement.",,,,,,,,,,,,,,,,
Lubricant Locations,,,,,,,,,,,,,,,,

|  Bolt or Screw Size  |  Class 4.8  | | | |  Class 8.8 or 9.8  | | | |  Class 10.9  | | | |  Class 12.9  | | | |
------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
"Hex HeadHex head column values are valid for ISO 4014 and ISO 4017 hex head, ISO 4162 hex socket head, and ISO 4032 hex nuts.",,"Flange HeadHex flange column values are valid for ASME B18.2.3.9M, ISO 4161, or EN 1665 hex flange products.",,"Hex HeadHex head column values are valid for ISO 4014 and ISO 4017 hex head, ISO 4162 hex socket head, and ISO 4032 hex nuts.",,"Flange HeadHex flange column values are valid for ASME B18.2.3.9M, ISO 4161, or EN 1665 hex flange products.",,"Hex HeadHex head column values are valid for ISO 4014 and ISO 4017 hex head, ISO 4162 hex socket head, and ISO 4032 hex nuts.",,"Flange HeadHex flange column values are valid for ASME B18.2.3.9M, ISO 4161, or EN 1665 hex flange products.",,"Hex HeadHex head column values are valid for ISO 4014 and ISO 4017 hex head, ISO 4162 hex socket head, and ISO 4032 hex nuts.",,"Flange HeadHex flange column values are valid for ASME B18.2.3.9M, ISO 4161, or EN 1665 hex flange products.",
,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·in**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·in**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·in**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·in**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·in**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·in**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·in**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·in**
M6,3.6,31.9,3.9,34.5,6.7,59.3,7.3,64.6,9.8,86.7,10.8,95.6,11.5,102,12.6,112
,,,,,,,,,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·ft**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·ft**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·ft**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·ft**
M8,8.6,76.1,9.4,83.2,16.2,143,17.6,156,23.8,17.6,25.9,19.1,27.8,20.5,30.3,22.3
,,,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·ft**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·ft**,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·ft**,,,,,,,,
M10,16.9,150,18.4,13.6,31.9,23.5,34.7,25.6,46.8,34.5,51,37.6,55,40.6,60,44.3
,Shading = #c0c0c0 **N·m**,Shading = #c0c0c0 **lb·ft**,,,,,,,,,,,,,,
M12,—,—,—,—,55,40.6,61,45,81,59.7,89,65.6,95,70.1,105,77.4
M14,—,—,—,—,87,64.2,96,70.8,128,94.4,141,104,150,111,165,122
M16,—,—,—,—,135,99.6,149,110,198,146,219,162,232,171,257,190
M18,—,—,—,—,193,142,214,158,275,203,304,224,322,245,356,263
M20,—,—,—,—,272,201,301,222,387,285,428,316,453,334,501,370
M22,—,—,—,—,365,263,405,299,520,384,576,425,608,448,674,497
M24,—,—,—,—,468,345,518,382,666,491,738,544,780,575,864,637
M27,—,—,—,—,683,504,758,559,973,718,1080,797,1139,840,1263,932
M30,—,—,—,—,932,687,1029,759,1327,979,1466,1081,1553,1145,1715,1265
M33,—,—,—,—,1258,928,1398,1031,1788,1319,1986,1465,2092,1543,2324,1714
M36,—,—,—,—,1617,1193,1789,1319,2303,1699,2548,1879,2695,1988,2982,2199
"The nominal torque values listed are for general use only with the assumed wrenching accuracy of 20%, such as a manual torque wrench. DO NOT use these values if a different torque value or tightening procedure is given for a specific application. For lock nuts, for stainless steel fasteners, or for nuts on U-bolts, see the tightening instructions for the specific application.",,,,,,,,,"Replace fasteners with the same or higher property class. If higher property class fasteners are used, tighten these to the strength of the original.",,,,,,,
"Make sure that fastener threads are clean. Apply a thin coat of Hy-Gard™ or equivalent oil under the head and on the threads of the fastener, as shown in the following image. Be conservative with the amount of oil to reduce the potential for hydraulic lockup in blind holes due to excessive oil. Properly start thread engagement.",,,,,,,,,,,,,,,,
Lubricant Locations,,,,,,,,,,,,,,,,

|  1  |  Manufacturer Code  |  Harvesting Manufacturing Facilities  | |
------------,------------,------------,------------
CQ - John Deere Horizontina H0 - John Deere Harvester Works EK - John Deere Orenburg KM - Machinenfabrik Kemper GmbH & Co. KG PY - John Deere India Pvt. Ltd,"SA - SABO Maschinenfabrik GmbH YC - John Deere (Jiamusi) Agricultural Machinery Co., Ltd. YH - John Deere (Harbin) Agriculture Machinery Co., Ltd Z0 - John Deere Werke Zweibrucken"
2,Machine Model Identifier,,
3,Model Identifier Suffix Machine Configuration Code Additional Machine Information,,"Example: N, T, W, etc."
4,Check Letter,,"Example: A, B, C, D, etc."
5,Calendar Year of Manufacture,,Refer to Year of Manufacture Code table
6,Additional Information,,
7,Manufacturing Serial Number,,"Example: 000001, 000127, etc."

|  **Year of Manufacture Code**  | | | | | | | | |
------------,------------,------------,------------,------------,------------,------------,------------,------------
**Year**,,**Code**,**Year**,**Code**,**Year**,**Code**,**Year**,**Code**
2008,,8,2018,J,2028,W,2038,8
2009,,9,2019,K,2029,X,2039,9
2010,,A,2020,L,2030,Y,2040,A
2011,,B,2021,M,2031,1,2041,B
2012,,C,2022,N,2032,2,2042,C
2013,,D,2023,P,2033,3,2043,D
2014,,E,2024,R,2034,4,2044,E
2015,,F,2025,S,2035,5,2045,F
2016,,G,2026,T,2036,6,2046,G
2017,,H,2027,V,2037,7,2047,H

